Parameter Source Pipeline,Detection Pipeline(s),TIC ID,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TIC Right Ascension 2015.5,TIC Declination 2015.5,TMag Value,TMag Uncertainty,Epoch Value,Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Error,Planet Radius Value,Planet Radius Error,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,TFOP Master,TFOP SG1a,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Alerted,Updated,Vmag,Tmag,Gmag,rmag,imag,Zmag,Jmag,Hmag,Kmag,Teff,ra,dec,logg,rho,dist,eclong,eclat,Stellar Insolation [ergs/cm^2/s],Stellar Insolation [Earth Units],Observed Sectors [String],N Sectors_Observed
spoc-s14-s55-b0A-PC,SPOC,198385543,1846.01,PC,257.95542174938,54.5269385069889,257.954964533,54.5278483363,11.8467,0.00753198,2884.34980261603,0.0025567953,3.93067462792567,7.234096e-06,1.43051415609098,0.15883589,1637.19842694826,85.50518,"[17, 20, 23, 24, 25, 26, 40, 47, 50, 51, 52, 53, 54, 58]",L1 candidate; possible secondary at phase 0.3; two stars in pixel,4.81618,0.00391692,1,0.411451995372772,0.0121252,1.79020057546811,0.24769609,523.443226366455,3512.0,157.0,17.7418677825478,19.41492,False,2,4,1,1,4,4,4,2020-05-07 18:04:46+00,2023-03-22 15:34:06+00,13.971,11.8467,12.9919,,,,10.385,9.804,9.596,3512.0,257.95542174938,54.5269385069889,4.81618,5.80494,47.2496,238.390516275511,76.6414031328666,24310816.545614712,17.798123672371045,"Sector 17, Sector 20, Sector 23, Sector 24, Sector 25",5.0
spoc-s01-s39-b02-L1,SPOC,107018378,4556.01,PC,182.92642437559,-32.5313632626858,182.925066234,-32.5325803817,13.0454,0.00735164,1570.93492543009,0.0020804948,3.79242208071527,2.1155918e-05,1.23084287531311,0.23922932,3704.22836365673,621.85425,"[10, 37]",small planet around M dwarf; low SNR with some odd-even depth difference,5.03236,0.0204889,1,0.218553006649017,0.00658607,1.56026239485541,0.21874163,414.650410639483,3319.0,157.0,6.98633491047463,8.390083,False,2,4,2,2,4,4,4,2021-10-28 01:47:23+00,2021-10-27 21:46:53+00,18.26,13.0454,14.3226,,,,11.505,11.001,10.729,3319.0,182.92642437559,-32.5313632626858,5.03236,17.9779,36.6717,196.749236513618,-28.4417230293333,9573057.370330336,7.008504164397421,Sector 10,1.0
spoc-s07-b01,SPOC,108645766,497.01,EB,112.4454,-28.4832,112.446413796,-28.4839164595,13.171,0.059,1492.914449,0.006628,2.974175,0.001636,3.031634,0.343247,11707.257241,1687.3541,[7],TFOP FP; retired as NEB,4.94824,0.506965,1,0.302,0.065,3.756355,0.897648,492.177726931967,3333.0,102.0,13.8678401334875,7.1741686,False,5,5,5,5,5,5,5,2019-03-14 21:38:48+00,2021-12-07 20:23:18+00,15.62,13.2312,14.5292,,,,11.585,11.013,10.76,3301.0,112.445395367513,-28.4831777558872,4.91483,9.66974,56.336,121.130808757729,-49.5250860680387,19583318.402236495,14.33708827444947,Sector 7,1.0
qlp-s41-faintsearch,FAINT,419411415,5205.01,PC,313.7704845,24.3607524,313.77068194,24.3609770107,13.614,0.009,2443.4706733,0.0005016,1.6306523,5.68e-05,1.202,0.083,68050.0,37.07,[41],found in faint-star QLP search,4.83,0.0,1,0.4,0.01,11.1125,0.428663,653.0,3262.0,157.0,30.1966,84.0,False,3,4,3,3,4,4,4,2022-02-28 23:23:27+00,2022-02-28 13:03:06+00,15.899,13.6136,14.9317,15.6797,14.1879,13.3621,11.926,11.24,11.006,3262.0,313.770484511491,24.3607524298132,4.82888,6.18556,86.4493,325.109386384431,39.8000757723772,56053650.51127209,41.03728076000991,Sector 15,1.0
qlp-s57-faintsearch,FAINT,352147273,6225.01,PC,0.4848284,35.9980314,0.485039184424,35.9977737607,13.104,0.007,2867.4156635,0.0030882,8.555965,2.89e-05,1.865,0.302,12373.0,879.777,"[17, 57]",found in faint-star QLP search,4.79,0.01,1,0.44,0.01,5.09342,0.256758,394.0,3376.0,157.0,4.00885,11.0,False,3,4,3,3,4,4,4,2023-04-03 20:51:28+00,2023-04-03 15:55:20+00,15.523,13.104,14.354,14.9693,13.6304,12.9139,11.509,10.868,10.61,3376.0,0.48482840124353,35.9980313816775,4.78598,5.00682,83.7373,16.5285280722457,32.4479863985205,8121055.62396252,5.945483240938774,Sector 17,1.0
spoc-s14-s60-b0A-PC,SPOC,71347873,2293.01,PC,115.592795658996,70.4045965394799,115.59337663,70.4040764939,11.814,0.00726537,2600.3145328,0.0033197,6.06833180313888,1.6921622e-05,1.9825707034461,0.36568373,1742.73323852595,121.83509,"[20, 26, 40, 47, 53, 60]",,4.73795,0.00814435,1,0.499375998973846,0.0148842,2.1199938717551,0.8297539,503.423488745576,3668.0,157.0,15.1794103574242,13.326022,False,3,4,3,3,4,4,4,2020-09-30 13:26:56+00,2023-05-22 13:19:13+00,13.683,11.814,12.872,,,,10.472,9.829,9.636,3668.0,115.592795658996,70.4045965394799,4.73795,3.99445,62.7576,102.522809362994,48.075807570963,20799671.821648795,15.227589362612905,Sector 20,1.0
spoc-s01-s65-b02,SPOC,34986694,6717.01,PC,164.325705841788,-4.67355965004113,164.325075466,-4.67441426436,13.9087,0.00809763,2281.31796489985,0.00067731325,0.470747585270121,1.26019995e-05,0.500960662692243,0.14795181,5060.83352771705,976.0742,"[36, 45, 62]",low SNR; V-shaped; centroids centered near between target and TIC 902821804,5.0301,0.0195213,1,0.219972997903824,0.00682326,1.85290696497255,0.4036643,816.546115743047,3254.0,157.0,105.061566187377,7.977471,False,2,4,2,2,4,4,4,2023-10-05 21:59:28+00,2023-10-05 17:45:51+00,16.56,13.9087,15.2361,,,,12.29,11.825,11.542,3254.0,164.325705841788,-4.67355965004113,5.0301,17.769,53.7293,167.391946680763,-10.4783830892117,143961501.62158248,105.39525092107029,Sector 9,1.0
spoc-s56-b02,SPOC,434116397,5955.01,PC,355.466992014676,14.107104215557,355.467833209,14.1068025095,10.3224,0.00724394,2825.84533605843,0.0022007937,0.590238672714306,8.353142e-05,1.04505204681999,0.16586141,518.724099889653,57.798515,[56],low SNR; two stars in pixel; possibly asymmetric transits,4.6589,0.0104867,1,0.590924024581909,0.0174113,1.68029012004386,0.17729063,1216.16850928088,3844.0,157.0,517.006516623626,9.309872,False,2,4,2,2,4,4,4,2022-11-16 01:06:35+00,2022-11-15 15:13:06+00,11.98,10.3224,11.2716,,,,9.098,8.429,8.274,3844.0,355.466992014676,14.107104215557,4.6589,2.81383,42.8747,1.57761620578514,14.7209863712275,708437246.449849,518.652004253755,,1.0
spoc-s01-s36-b0H,SPOC,170789802,4508.01,PC,69.6142940886827,-31.1894233927199,69.6147309577,-31.1893350745,11.8371,0.00741755,1438.01209905518,0.00049501995,3.46727789358939,9.109895e-06,0.405592768803134,0.23701005,3657.06035533876,419.9717,"[5, 32]",potential L1 planet; low MES,4.89132,0.00204166,1,0.332563996315002,0.0099286,2.113546581762,1.3841863,492.998842188553,3383.0,157.0,13.9606165624412,9.370191,False,2,4,2,2,4,4,4,2021-10-21 22:52:35+00,2021-10-21 18:51:44+00,14.226,11.8371,13.0699,,,,10.315,9.71,9.439,3383.0,69.6142940886827,-31.1894233927199,4.89132,8.53844,33.4412,60.6402525208533,-52.5708676372576,19129642.895409685,14.004949172396737,Sector 5,1.0
spoc-s58-b0A,SPOC,284441182,1470.01,PC,10.0887087707778,61.2136262085634,10.0891430939,61.2133868109,11.4752,0.00729855,2883.4436138045,0.002269791,2.52728224243905,0.00038589767,1.26586097030192,0.41272178,1847.4872235657,195.67229,"[17, 18, 24, 58]",crowded field; L1 candidate,4.74607,0.00772316,1,0.490119993686676,0.0145314,2.2007181499311,1.1227379,661.896336049759,3624.0,157.0,45.3608213669348,7.901595,False,2,4,1,1,4,4,4,2019-12-05 16:42:06+00,2023-02-21 17:45:22+00,13.459,11.4752,12.5555,,,,10.154,9.514,9.283,3624.0,10.0887087707778,61.2136262085634,4.74607,4.14664,51.9503,41.9420146250263,50.4030208629888,62156435.125777185,45.50517327653658,"Sector 17, Sector 18, Sector 24",3.0
